2.486453337041603540e+00,2.547293444212430091e-01
2.498241011139140877e+00,2.791909330853104554e-01
2.499028846777966884e+00,2.529597617403701593e-01
2.501863361259532681e+00,2.399071451245243236e-01
2.501678081293855715e+00,2.460404123747205185e-01
2.501140071424193589e+00,2.188155247989675145e-01
2.506374009438847139e+00,2.156758788355313816e-01
2.517830735066580061e+00,2.276084163474278166e-01
2.517097079181068064e+00,2.282451689027845954e-01
2.518426790069950627e+00,2.096771258958342599e-01
2.523321346772387397e+00,2.191145113840759218e-01
2.535962231769686603e+00,2.192023268631679844e-01
2.545243532981028789e+00,2.196926869434686902e-01
2.548928318118025782e+00,2.128608563904721418e-01
2.552999712760459339e+00,2.068398143457869931e-01
2.548892606687353624e+00,2.045123675396190444e-01
2.558584996156972213e+00,1.996552412564573109e-01
2.561563095057108885e+00,1.871874235627178362e-01
2.579660114153200290e+00,1.884021526205024444e-01
2.615959039748412263e+00,1.859744590655121044e-01
2.620789724597977433e+00,1.713207404568252434e-01
2.591053732614826188e+00,1.833753746939517371e-01
2.608304245357752293e+00,1.768163949870851792e-01
2.606245567475672154e+00,1.743024959167362720e-01
2.628488863471394321e+00,1.728427746281798183e-01
